0, 0.59, 0.3
2, 0.57, 0.26
4, 0.63, 0.19
6, 0.62, 0.25
8, 0.64, 0.29
10, 0.53, 0.24
12, 0.66, 0.25
14, 0.61, 0.24
16, 0.56, 0.24
18, 0.62, 0.22
20, 0.57, 0.27
22, 0.57, 0.22
24, 0.65, 0.3
26, 0.56, 0.18
28, 0.63, 0.25
30, 0.56, 0.22
32, 0.59, 0.34
34, 0.61, 0.3
36, 0.59, 0.25
38, 0.65, 0.3
40, 0.56, 0.27
42, 0.56, 0.14
44, 0.69, 0.24
46, 0.59, 0.24
48, 0.59, 0.26
50, 0.65, 0.22
52, 0.59, 0.24
54, 0.58, 0.25
56, 0.63, 0.24
58, 0.6, 0.26
60, 0.62, 0.22
62, 0.6, 0.25
64, 0.63, 0.25
66, 0.65, 0.25
68, 0.61, 0.24
70, 0.56, 0.24
72, 0.61, 0.24
74, 0.59, 0.16
76, 0.61, 0.19
78, 0.63, 0.18
80, 0.58, 0.24
82, 0.6, 0.29
84, 0.64, 0.22
86, 0.59, 0.3
88, 0.57, 0.22
90, 0.58, 0.17
92, 0.57, 0.27
94, 0.59, 0.21
96, 0.61, 0.27
98, 0.6, 0.26
100, 0.62, 0.29
